:21,19,30;21,19,30;22,20,33;24,22,35;24,23,38;27,24,38;80,80,82;71,72,80;214,215,214;24,23,38
:121,114,102;74,69,66;29,29,32;38,35,57;41,36,60;41,36,60;41,37,63;44,37,63;44,39,63;41,36,60
:30,29,46;33,31,49;33,31,49;65,66,65;16,16,16;15,15,16;38,31,57;33,28,57;10,10,12;34,26,50
:126,120,110;98,92,81;54,60,62;55,48,82;57,50,85;57,51,87;57,51,87;57,51,87;57,51,88;57,51,87
:36,30,54;30,25,49;38,41,41;16,16,16;15,16,15;23,24,24;34,37,42;46,41,69;48,41,69;7,3,7
:143,134,120;111,104,94;62,65,70;34,37,42;63,56,99;65,56,99;63,56,99;63,56,96;63,55,96;66,57,99
:35,32,52;27,25,44;24,24,24;27,27,27;27,27,28;21,21,21;28,26,28;41,44,49;30,25,49;2,2,2
:136,130,120;103,100,94;89,96,106;82,81,82;11,12,15;57,49,85;56,48,82;55,49,82;54,48,82;56,61,62
:22,20,33;22,20,35;21,20,35;22,20,33;21,19,30;19,17,30;20,18,29;24,20,33;27,23,38;21,18,32
:44,39,63;44,39,63;42,37,60;41,39,60;41,36,57;41,36,57;38,35,57;38,33,55;36,33,54;41,36,57
:11,11,16;11,9,13;8,8,15;8,8,13;11,12,16;11,11,16;11,11,16;12,11,16;13,12,16;8,7,11
:24,23,35;20,20,32;22,21,32;22,21,30;21,20,30;21,19,30;19,19,30;19,19,25;19,19,24;19,17,27
