catburglar:96,76,95;134,108,109;133,101,109;53,43,62;69,48,63;67,41,58;98,74,89;68,46,63;63,46,71;161,123,121
clanhero:100,182,214;102,96,102;75,64,72;200,150,125;236,210,185;77,57,62;96,79,83;113,123,126;147,162,152;231,185,152
topazdrake:138,186,237;25,53,100;113,119,194;111,146,214;18,50,84;22,46,66;115,133,156;49,86,131;25,37,42;57,103,143
clanhero:82,74,74;140,109,172;143,127,155;104,68,57;100,102,100;91,94,94;91,90,91;75,78,75;87,90,91;105,107,105
topazdrake:239,186,91;255,125,53;60,56,53;119,145,148;93,81,73;132,108,82;35,10,10;182,169,174;143,138,160;238,248,253
brashshorthorn:39,37,37;77,80,89;58,51,50;119,101,116;80,69,64;113,37,33;133,71,26;37,21,21;177,176,177;170,62,65
topazdrake:204,226,233;102,164,183;189,186,181;99,123,129;222,227,231;185,176,167;223,220,215;59,87,99;75,94,100;100,82,50
brashshorthorn:192,168,135;145,128,121;81,105,119;86,78,93;54,51,71;135,125,95;70,61,66;25,21,34;135,115,103;75,66,75
sparkbot:250,224,185;75,45,34;212,135,81;250,187,109;124,31,21;100,34,17;248,208,66;206,166,42;221,170,21;208,153,99
brashshorthorn:179,170,206;89,78,77;75,74,67;109,107,100;24,24,22;156,146,132;43,39,41;64,64,78;75,74,75;43,42,42
sparkbot:38,40,60;60,63,55;102,58,72;84,65,53;114,86,72;36,30,29;18,25,25;25,17,17;53,46,27;204,138,116
sanguinesword:66,65,44;41,30,12;132,110,83;119,101,78;52,45,34;91,80,74;88,73,51;58,41,34;91,49,25;163,128,89
